Kueri Baseline;Kueri Refactored;Jumlah Properti WHERE Baseline;Jumlah Properti WHERE Refactored;Persentase Penurunan
"MATCH (n3:writer)-[:WROTE]->(n2:animation), (n3:writer)-[:WROTE]->(n4:drama), (n3:writer)-[:WROTE]->(n1:adventure) WHERE (n2.year=1978 AND n3.birth=0 AND n3.name=""Aleksandr Antokolsky"" AND n4.year=1960) RETURN count(n1)";"MATCH (n3:writer:birth_0)-[:WROTE]->(n2:animation:year_1978), (n3:writer:birth_0)-[:WROTE]->(n4:drama:year_1960), (n3:writer:birth_0)-[:WROTE]->(n1:adventure) WHERE (n3.name=""Aleksandr Antokolsky"") RETURN count(n1)";4;1;75%
"MATCH (n3:actor)-[:ACTED_IN]->(n2:drama), (n3:actor)-[:ACTED_IN]->(n1:drama) WHERE (n2.year=1980 AND n3.birth=1937 AND n1.year=1992 AND n2.category=""movie"") RETURN count(n1)";MATCH (n3:actor:birth_1937)-[:ACTED_IN]->(n2:drama:year_1980:movie), (n3:actor:birth_1937)-[:ACTED_IN]->(n1:drama:year_1992) RETURN count(n1);4;0;100%
"MATCH (n3:actress)-[:ACTED_IN]->(n2:comedy), (n3:actress)-[:ACTED_IN]->(n1:comedy) WHERE (n2.year=1972 AND n3.name=""Danica Acimac"") OR (n1.year=1959 AND n3.birth=1928) RETURN count(n1)";"CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n2:comedy:year_1972), (n3:actress)-[:ACTED_IN]->(n1:comedy)
  WHERE n3.name=""Danica Acimac""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actress:birth_1928)-[:ACTED_IN]->(n2:comedy), (n3:actress:birth_1928)-[:ACTED_IN]->(n1:comedy:year_1959)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actress:birth_1928)-[:ACTED_IN]->(n2:comedy:year_1972), (n3:actress:birth_1928)-[:ACTED_IN]->(n1:comedy:year_1959)
  WHERE n3.name=""Danica Acimac""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";4;1;75%
"MATCH (n2:actor)-[:ACTED_IN]->(n1:adventure), (n2:actor)-[:ACTED_IN]->(n3:animation) WHERE (n1.year=2011 AND n3.category=""short"") OR (n3.year=1999 AND n2.death=0) RETURN count(n1)";"CALL () {
  MATCH (n2:actor)-[:ACTED_IN]->(n1:adventure:year_2011), (n2:actor)-[:ACTED_IN]->(n3:animation:short)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:actor:death_0)-[:ACTED_IN]->(n1:adventure), (n2:actor:death_0)-[:ACTED_IN]->(n3:animation:year_1999)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:actor:death_0)-[:ACTED_IN]->(n1:adventure:year_2011), (n2:actor:death_0)-[:ACTED_IN]->(n3:animation:short:year_1999)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";4;0;100%
"MATCH (n3:editorial_department)-[:EDITED]->(n1:documentary), (n3:editorial_department)-[:EDITED]->(n2:biography) WHERE (n1.category=""movie"" AND n3.name=""Michel Klochendler"") OR (n1.year=2015 AND n2.year=2019) OR (n3.birth=1957 AND n3.death=0) RETURN count(n1)";"CALL () {
  MATCH (n3:editorial_department)-[:EDITED]->(n1:documentary:movie), (n3:editorial_department)-[:EDITED]->(n2:biography)
  WHERE n3.name=""Michel Klochendler""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:editorial_department)-[:EDITED]->(n1:documentary:year_2015), (n3:editorial_department)-[:EDITED]->(n2:biography:year_2019)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n1:documentary), (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n2:biography)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:editorial_department)-[:EDITED]->(n1:documentary:movie:year_2015), (n3:editorial_department)-[:EDITED]->(n2:biography:year_2019)
  WHERE n3.name=""Michel Klochendler""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n1:documentary:movie), (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n2:biography)
  WHERE n3.name=""Michel Klochendler""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n1:documentary:year_2015), (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n2:biography:year_2019)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n1:documentary:movie:year_2015), (n3:editorial_department:birth_1957:death_0)-[:EDITED]->(n2:biography:year_2019)
  WHERE n3.name=""Michel Klochendler""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";6;1;83%
"MATCH (n3:camera_department)-[:CINEMATOGRAPHER_OF]->(n1:crime), (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n2:adventure) WHERE (n2.year=1950 AND n3.death=1967) OR (n1.year=1941 AND n3.birth=1890) OR (n1.category=""movie"" AND n2.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n3:camera_department:death_1967)-[:CINEMATOGRAPHER_OF]->(n1:crime), (n3:cinematographer:death_1967)-[:CINEMATOGRAPHER_OF]->(n2:adventure:year_1950)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:camera_department:birth_1890)-[:CINEMATOGRAPHER_OF]->(n1:crime:year_1941), (n3:cinematographer:birth_1890)-[:CINEMATOGRAPHER_OF]->(n2:adventure)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:camera_department)-[:CINEMATOGRAPHER_OF]->(n1:crime:movie), (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n2:adventure:movie)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:camera_department:death_1967:birth_1890)-[:CINEMATOGRAPHER_OF]->(n1:crime:year_1941), (n3:cinematographer:death_1967:birth_1890)-[:CINEMATOGRAPHER_OF]->(n2:adventure:year_1950)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:camera_department:death_1967)-[:CINEMATOGRAPHER_OF]->(n1:crime:movie), (n3:cinematographer:death_1967)-[:CINEMATOGRAPHER_OF]->(n2:adventure:year_1950:movie)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:camera_department:birth_1890)-[:CINEMATOGRAPHER_OF]->(n1:crime:year_1941:movie), (n3:cinematographer:birth_1890)-[:CINEMATOGRAPHER_OF]->(n2:adventure:movie)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:camera_department:death_1967:birth_1890)-[:CINEMATOGRAPHER_OF]->(n1:crime:year_1941:movie), (n3:cinematographer:death_1967:birth_1890)-[:CINEMATOGRAPHER_OF]->(n2:adventure:year_1950:movie)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";6;0;100%
"MATCH (n1:actress)-[:ACTED_IN]->(n3:reality_tv), (n1:writer)-[:ACTED_IN]->(n2:horror) WHERE (n3.category=""tvSeries"" AND n1.name=""Clare Kramer"" AND n2.year=2006) OR (n2.category=""movie"" AND n1.death=0 AND n1.birth=1974) RETURN count(n1)";"CALL () {
  MATCH (n1:actress)-[:ACTED_IN]->(n3:reality_tv:tvSeries), (n1:writer)-[:ACTED_IN]->(n2:horror:year_2006)
  WHERE n1.name=""Clare Kramer""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:actress:death_0:birth_1974)-[:ACTED_IN]->(n3:reality_tv), (n1:writer:death_0:birth_1974)-[:ACTED_IN]->(n2:horror:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:actress:death_0:birth_1974)-[:ACTED_IN]->(n3:reality_tv:tvSeries), (n1:writer:death_0:birth_1974)-[:ACTED_IN]->(n2:horror:year_2006:movie)
  WHERE n1.name=""Clare Kramer""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";6;1;83%
"MATCH (n2:writer)-[:ACTED_IN]->(n3:action), (n2:producer)-[:ACTED_IN]->(n1:comedy) WHERE (n3.year=2003 AND n2.birth=1975 AND n3.category=""movie"") OR (n2.death=0 AND n1.year=2005 AND n1.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n2:writer:birth_1975)-[:ACTED_IN]->(n3:action:year_2003:movie), (n2:producer:birth_1975)-[:ACTED_IN]->(n1:comedy)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:writer:death_0)-[:ACTED_IN]->(n3:action), (n2:producer:death_0)-[:ACTED_IN]->(n1:comedy:year_2005:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:writer:birth_1975:death_0)-[:ACTED_IN]->(n3:action:year_2003:movie), (n2:producer:birth_1975:death_0)-[:ACTED_IN]->(n1:comedy:year_2005:movie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";6;0;100%
"MATCH (n4:cinematographer)-[:CINEMATOGRAPHER_OF]->(n2:action), (n4:editor)-[:CINEMATOGRAPHER_OF]->(n3:documentary), (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n1:comedy) WHERE (n4.birth=0 AND n1.category=""movie"" AND n3.category=""short"" AND n2.year=2006) OR (n3.year=2019 AND n4.death=0 AND n1.year=2013 AND n4.name=""Aasulv Austad"") RETURN count(n1)";"CALL () {
  MATCH (n4:cinematographer:birth_0)-[:CINEMATOGRAPHER_OF]->(n2:action:year_2006), (n4:editor:birth_0)-[:CINEMATOGRAPHER_OF]->(n3:documentary:short), (n4:camera_department:birth_0)-[:CINEMATOGRAPHER_OF]->(n1:comedy:movie)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:cinematographer:death_0)-[:CINEMATOGRAPHER_OF]->(n2:action), (n4:editor:death_0)-[:CINEMATOGRAPHER_OF]->(n3:documentary:year_2019), (n4:camera_department:death_0)-[:CINEMATOGRAPHER_OF]->(n1:comedy:year_2013)
  WHERE n4.name=""Aasulv Austad""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:cinematographer:birth_0:death_0)-[:CINEMATOGRAPHER_OF]->(n2:action:year_2006), (n4:editor:birth_0:death_0)-[:CINEMATOGRAPHER_OF]->(n3:documentary:short:year_2019), (n4:camera_department:birth_0:death_0)-[:CINEMATOGRAPHER_OF]->(n1:comedy:movie:year_2013)
  WHERE n4.name=""Aasulv Austad""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";8;1;88%
"MATCH (n2:actress)-[:PRODUCED]->(n3:drama), (n2:actress)-[:ACTED_IN]->(n1:drama), (n2:miscellaneous)-[:ACTED_IN]->(n4:drama) WHERE (n1.year=0 AND n4.category=""tvMovie"" AND n1.category=""tvSeries"" AND n2.death=0) OR (n3.year=2016 AND n4.year=2013 AND n2.birth=1980 AND n3.category=""short"") RETURN count(n1)";"CALL () {
  MATCH (n2:actress:death_0)-[:PRODUCED]->(n3:drama), (n2:actress:death_0)-[:ACTED_IN]->(n1:drama:year_0:tvSeries), (n2:miscellaneous:death_0)-[:ACTED_IN]->(n4:drama:tvMovie)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:actress:birth_1980)-[:PRODUCED]->(n3:drama:year_2016:short), (n2:actress:birth_1980)-[:ACTED_IN]->(n1:drama), (n2:miscellaneous:birth_1980)-[:ACTED_IN]->(n4:drama:year_2013)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:actress:death_0:birth_1980)-[:PRODUCED]->(n3:drama:year_2016:short), (n2:actress:death_0:birth_1980)-[:ACTED_IN]->(n1:drama:year_0:tvSeries), (n2:miscellaneous:death_0:birth_1980)-[:ACTED_IN]->(n4:drama:tvMovie:year_2013)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";8;0;100%
