Kueri Baseline;Kueri Refactored;Pola Properti Awal;Pola Properti Baru;Persentase Pengurangan;Jumlah Hasil;DBHits;Running Time
MATCH (n3:producer)-[:ACTED_IN]->(n2:fantasy), (n3:actor)-[:ACTED_IN]->(n1:romance), (n3:writer)-[:ACTED_IN]->(n4:drama) WHERE (n4.year=1985) RETURN count(n1);MATCH (n3:producer)-[:ACTED_IN]->(n2:fantasy), (n3:actor)-[:ACTED_IN]->(n1:romance), (n3:writer)-[:ACTED_IN]->(n4:drama)-[:RELEASED_IN]->(:year_1985) RETURN count(n1);A;-;100%;228372016;785064946;73571.0
MATCH (n4:director)-[:ACTED_IN]->(n3:talk_show), (n4:producer)-[:DIRECTED]->(n2:comedy), (n4:producer)-[:DIRECTED]->(n1:drama) WHERE (n2.year=0) RETURN count(n1);MATCH (n4:director)-[:ACTED_IN]->(n3:talk_show), (n4:producer)-[:DIRECTED]->(n2:comedy)-[:RELEASED_IN]->(:year_0), (n4:producer)-[:DIRECTED]->(n1:drama) RETURN count(n1);A;-;100%;1179321;103560876;15174.9
MATCH (n1:writer)-[:PRODUCED]->(n4:documentary), (n1:writer)-[:PRODUCED]->(n2:comedy), (n1:producer)-[:PRODUCED]->(n3:sci_fi) WHERE (n3.year=2001) RETURN count(n1);MATCH (n1:writer)-[:PRODUCED]->(n4:documentary), (n1:writer)-[:PRODUCED]->(n2:comedy), (n1:producer)-[:PRODUCED]->(n3:sci_fi)-[:RELEASED_IN]->(:year_2001) RETURN count(n1);A;-;100%;884;274275;81.9
MATCH (n2:composer)-[:COMPOSED]->(n1:documentary), (n2:soundtrack)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n4:documentary) WHERE (n1.year=1965) RETURN count(n1);MATCH (n2:composer)-[:COMPOSED]->(n1:documentary)-[:RELEASED_IN]->(:year_1965), (n2:soundtrack)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n4:documentary) RETURN count(n1);A;-;100%;179184;1441408;178.4
MATCH (n1:music_department)-[:COMPOSED]->(n3:action), (n1:music_department)-[:COMPOSED]->(n2:action), (n1:music_department)-[:COMPOSED]->(n4:crime) WHERE (n2.year=1977) RETURN count(n1);MATCH (n1:music_department)-[:COMPOSED]->(n3:action), (n1:music_department)-[:COMPOSED]->(n2:action)-[:RELEASED_IN]->(:year_1977), (n1:music_department)-[:COMPOSED]->(n4:crime) RETURN count(n1);A;-;100%;4867524;53973340;4421.9
"MATCH (n2:actor)-[:ACTED_IN]->(n1:thriller), (n2:actor)-[:ACTED_IN]->(n3:drama) WHERE (n1.category=""tvMovie"") RETURN count(n1)";MATCH (n2:actor)-[:ACTED_IN]->(n1:thriller)-[:HAS_CATEGORY]->(:tvMovie), (n2:actor)-[:ACTED_IN]->(n3:drama) RETURN count(n1);A;-;100%;557670;3710847;1836.0
"MATCH (n4:composer)-[:COMPOSED]->(n3:mystery), (n4:composer)-[:COMPOSED]->(n2:comedy), (n4:music_department)-[:COMPOSED]->(n1:drama) WHERE (n3.category=""movie"") RETURN count(n1)";MATCH (n4:composer)-[:COMPOSED]->(n3:mystery)-[:HAS_CATEGORY]->(:movie), (n4:composer)-[:COMPOSED]->(n2:comedy), (n4:music_department)-[:COMPOSED]->(n1:drama) RETURN count(n1);A;-;100%;100699616;1456005942;160996.9
"MATCH (n3:actress)-[:ACTED_IN]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n4:thriller), (n3:soundtrack)-[:ACTED_IN]->(n2:fantasy) WHERE (n2.category=""movie"") RETURN count(n1)";MATCH (n3:actress)-[:ACTED_IN]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n4:thriller), (n3:soundtrack)-[:ACTED_IN]->(n2:fantasy)-[:HAS_CATEGORY]->(:movie) RETURN count(n1);A;-;100%;537335;21551358;2060.4
MATCH (n2:actress)-[:ACTED_IN]->(n4:animation), (n2:actress)-[:ACTED_IN]->(n1:animation), (n2:actress)-[:ACTED_IN]->(n3:sci_fi) WHERE (n2.birth=1952) RETURN count(n1);MATCH (n2:actress)-[:ACTED_IN]->(n4:animation), (n2:actress)-[:ACTED_IN]->(n1:animation), (n2:actress)-[:ACTED_IN]->(n3:sci_fi) , (n2:actress)-[:BORN_IN]->(:year_1952) RETURN count(n1);A;-;100%;5478924;17098060;968.6
MATCH (n1:producer)-[:ACTED_IN]->(n4:documentary), (n1:writer)-[:ACTED_IN]->(n2:music), (n1:producer)-[:ACTED_IN]->(n3:documentary) WHERE (n1.death=0) RETURN count(n1);MATCH (n1:producer)-[:ACTED_IN]->(n4:documentary), (n1:writer)-[:ACTED_IN]->(n2:music), (n1:producer)-[:ACTED_IN]->(n3:documentary) , (n1:producer)-[:DIED_IN]->(:year_0) RETURN count(n1);A;-;100%;TIMEOUT;TIMEOUT;TIMEOUT
MATCH (n2:actor)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:game_show) WHERE (n2.death=2009 AND n2.birth=1923) RETURN count(n1);MATCH (n2:actor)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:game_show) , (n2:actor)-[:DIED_IN]->(:year_2009), (n2:actor)-[:BORN_IN]->(:year_1923) RETURN count(n1);A AND B;-;100%;2107;5322344;770.8
MATCH (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:drama) WHERE (n1.birth=1957 AND n2.year=1987) RETURN count(n1);MATCH (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:drama)-[:RELEASED_IN]->(:year_1987) , (n1:actress)-[:BORN_IN]->(:year_1957) RETURN count(n1);A AND B;-;100%;415249;1598373;410.8
MATCH (n4:music_department)-[:COMPOSED]->(n2:documentary), (n4:soundtrack)-[:COMPOSED]->(n1:documentary), (n4:soundtrack)-[:COMPOSED]->(n3:sport) WHERE (n3.year=1950 AND n4.birth=1911) RETURN count(n1);MATCH (n4:music_department)-[:COMPOSED]->(n2:documentary), (n4:soundtrack)-[:COMPOSED]->(n1:documentary), (n4:soundtrack)-[:COMPOSED]->(n3:sport)-[:RELEASED_IN]->(:year_1950) , (n4:music_department)-[:BORN_IN]->(:year_1911) RETURN count(n1);A AND B;-;100%;11470;320625;89.5
"MATCH (n3:producer)-[:DIRECTED]->(n1:animation), (n3:director)-[:DIRECTED]->(n2:animation) WHERE (n2.category=""short"" AND n3.birth=1905) RETURN count(n1)";MATCH (n3:producer)-[:DIRECTED]->(n1:animation), (n3:director)-[:DIRECTED]->(n2:animation)-[:HAS_CATEGORY]->(:short) , (n3:producer)-[:BORN_IN]->(:year_1905) RETURN count(n1);A AND B;-;100%;551;16280;37.9
"MATCH (n1:producer)-[:ACTED_IN]->(n4:adult), (n1:director)-[:PRODUCED]->(n3:adult), (n1:actor)-[:ACTED_IN]->(n2:adult) WHERE (n3.category=""video"" AND n2.category=""video"") RETURN count(n1)";MATCH (n1:producer)-[:ACTED_IN]->(n4:adult), (n1:director)-[:PRODUCED]->(n3:adult)-[:HAS_CATEGORY]->(:video), (n1:actor)-[:ACTED_IN]->(n2:adult)-[:HAS_CATEGORY]->(:video) RETURN count(n1);A AND B;-;100%;91844700;1235806717;236937.1
"MATCH (n1:actress)-[:PRODUCED]->(n3:romance), (n1:soundtrack)-[:ACTED_IN]->(n4:thriller), (n1:soundtrack)-[:ACTED_IN]->(n2:drama) WHERE (n4.category=""tvMovie"" AND n2.category=""movie"") RETURN count(n1)";MATCH (n1:actress)-[:PRODUCED]->(n3:romance), (n1:soundtrack)-[:ACTED_IN]->(n4:thriller)-[:HAS_CATEGORY]->(:tvMovie), (n1:soundtrack)-[:ACTED_IN]->(n2:drama)-[:HAS_CATEGORY]->(:movie) RETURN count(n1);A AND B;-;100%;131;272037;212.0
"MATCH (n2:director)-[:ACTED_IN]->(n1:adventure), (n2:director)-[:ACTED_IN]->(n3:romance) WHERE (n2.death=1972 AND n3.category=""movie"") RETURN count(n1)";MATCH (n2:director)-[:ACTED_IN]->(n1:adventure), (n2:director)-[:ACTED_IN]->(n3:romance)-[:HAS_CATEGORY]->(:movie) , (n2:director)-[:DIED_IN]->(:year_1972) RETURN count(n1);A AND B;-;100%;2717;32945;25.9
"MATCH (n3:music_department)-[:COMPOSED]->(n1:romance), (n3:music_department)-[:COMPOSED]->(n2:documentary) WHERE (n1.category=""movie"" AND n3.death=2005) RETURN count(n1)";MATCH (n3:music_department)-[:COMPOSED]->(n1:romance)-[:HAS_CATEGORY]->(:movie), (n3:music_department)-[:COMPOSED]->(n2:documentary) , (n3:music_department)-[:DIED_IN]->(:year_2005) RETURN count(n1);A AND B;-;100%;84;21246;29.2
"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport) WHERE (n4.category=""tvSpecial"" AND n2.name=""Sam Anoai"") RETURN count(n1)";"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport)-[:HAS_CATEGORY]->(:tvSpecial) WHERE (n2.name=""Sam Anoai"") RETURN count(n1)";A AND B;A;50%;22780;108656;126.3
"MATCH (n2:composer)-[:ACTED_IN]->(n4:music), (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:composer)-[:ACTED_IN]->(n1:music) WHERE (n1.category=""video"" AND n2.name=""Bob Geldof"") RETURN count(n1)";"MATCH (n2:composer)-[:ACTED_IN]->(n4:music), (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:composer)-[:ACTED_IN]->(n1:music)-[:HAS_CATEGORY]->(:video) WHERE (n2.name=""Bob Geldof"") RETURN count(n1)";A AND B;A;50%;27956;351487;213.2
"MATCH (n1:actor)-[:ACTED_IN]->(n2:documentary), (n1:actor)-[:ACTED_IN]->(n3:adventure) WHERE (n3.category=""movie"" AND n2.year=2007) RETURN count(n1)";MATCH (n1:actor)-[:ACTED_IN]->(n2:documentary)-[:RELEASED_IN]->(:year_2007), (n1:actor)-[:ACTED_IN]->(n3:adventure)-[:HAS_CATEGORY]->(:movie) RETURN count(n1);A AND B;-;100%;9277;9317164;3979.4
"MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy), (n1:actor)-[:ACTED_IN]->(n2:comedy) WHERE (n3.category=""tvSeries"" AND n3.year=1957) RETURN count(n1)";MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy)-[:HAS_CATEGORY]->(:tvSeries), (n1:actor)-[:ACTED_IN]->(n2:comedy) , (n3:comedy)-[:RELEASED_IN]->(:year_1957) RETURN count(n1);A AND B;-;100%;36038;241057;91.5
"MATCH (n2:director)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:war) WHERE (n1.category=""tvMovie"" AND n3.year=1990) RETURN count(n1)";MATCH (n2:director)-[:ACTED_IN]->(n3:drama)-[:RELEASED_IN]->(:year_1990), (n2:actor)-[:ACTED_IN]->(n1:war)-[:HAS_CATEGORY]->(:tvMovie) RETURN count(n1);A AND B;-;100%;481;9505706;3054.1
"MATCH (n2:actor)-[:ACTED_IN]->(n1:documentary), (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n4.year=2007 AND n4.category=""tvSpecial"") RETURN count(n1)";MATCH (n2:actor)-[:ACTED_IN]->(n1:documentary), (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:comedy)-[:RELEASED_IN]->(:year_2007) , (n4:comedy)-[:HAS_CATEGORY]->(:tvSpecial) RETURN count(n1);A AND B;-;100%;5491;248915;113.1
"MATCH (n3:writer)-[:ACTED_IN]->(n4:adventure), (n3:writer)-[:ACTED_IN]->(n2:talk_show), (n3:actor)-[:ACTED_IN]->(n1:documentary) WHERE (n1.year=2016 AND n2.category=""tvSeries"") RETURN count(n1)";MATCH (n3:writer)-[:ACTED_IN]->(n4:adventure), (n3:writer)-[:ACTED_IN]->(n2:talk_show)-[:HAS_CATEGORY]->(:tvSeries), (n3:actor)-[:ACTED_IN]->(n1:documentary)-[:RELEASED_IN]->(:year_2016) RETURN count(n1);A AND B;-;100%;54953;20485225;7066.1
MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:news), (n2:producer)-[:CINEMATOGRAPHER_OF]->(n3:documentary) WHERE (n2.death=1933 AND n3.year=1899) RETURN count(n1);MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:news), (n2:producer)-[:CINEMATOGRAPHER_OF]->(n3:documentary)-[:RELEASED_IN]->(:year_1899) , (n2:cinematographer)-[:DIED_IN]->(:year_1933) RETURN count(n1);A AND B;-;100%;2848;75794;32.7
MATCH (n3:producer)-[:PRODUCED]->(n2:sport), (n3:writer)-[:PRODUCED]->(n4:drama), (n3:producer)-[:WROTE]->(n1:drama) WHERE (n4.year=2008 AND n3.death=0) RETURN count(n1);MATCH (n3:producer)-[:PRODUCED]->(n2:sport), (n3:writer)-[:PRODUCED]->(n4:drama)-[:RELEASED_IN]->(:year_2008), (n3:producer)-[:WROTE]->(n1:drama) , (n3:producer)-[:DIED_IN]->(:year_0) RETURN count(n1);A AND B;-;100%;655155;6204025;1379.7
MATCH (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:documentary), (n3:producer)-[:ACTED_IN]->(n2:thriller) WHERE (n3.death=0 AND n4.year=2004) RETURN count(n1);MATCH (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:documentary)-[:RELEASED_IN]->(:year_2004), (n3:producer)-[:ACTED_IN]->(n2:thriller) , (n3:writer)-[:DIED_IN]->(:year_0) RETURN count(n1);A AND B;-;100%;127171;8644760;2959.4
"MATCH (n3:producer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary), (n3:director)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:documentary) WHERE (n3.name=""Bernardo Bertolucci"" AND n2.year=2011) RETURN count(n1)";"MATCH (n3:producer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary)-[:RELEASED_IN]->(:year_2011), (n3:director)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:documentary) WHERE (n3.name=""Bernardo Bertolucci"") RETURN count(n1)";A AND B;A;50%;6;719769;146.1
"MATCH (n3:actor)-[:ACTED_IN]->(n2:crime), (n3:director)-[:DIRECTED]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n4:talk_show) WHERE (n4.year=2009 AND n3.name=""John Sayles"") RETURN count(n1)";"MATCH (n3:actor)-[:ACTED_IN]->(n2:crime), (n3:director)-[:DIRECTED]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n4:talk_show)-[:RELEASED_IN]->(:year_2009) WHERE (n3.name=""John Sayles"") RETURN count(n1)";A AND B;A;50%;18;659784;278.1
MATCH (n4:writer)-[:ACTED_IN]->(n3:comedy), (n4:actor)-[:ACTED_IN]->(n1:drama), (n4:actor)-[:ACTED_IN]->(n2:drama) WHERE (n4.birth=1877) OR (n4.death=1950) RETURN count(n1);"CALL () {
  MATCH (n4:writer)-[:ACTED_IN]->(n3:comedy), (n4:actor)-[:ACTED_IN]->(n1:drama), (n4:actor)-[:ACTED_IN]->(n2:drama), (n4)-[:BORN_IN]->(:year_1877)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:writer)-[:ACTED_IN]->(n3:comedy), (n4:actor)-[:ACTED_IN]->(n1:drama), (n4:actor)-[:ACTED_IN]->(n2:drama), (n4)-[:DIED_IN]->(:year_1950)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:writer)-[:ACTED_IN]->(n3:comedy), (n4:actor)-[:ACTED_IN]->(n1:drama), (n4:actor)-[:ACTED_IN]->(n2:drama), (n4)-[:BORN_IN]->(:year_1877), (n4)-[:DIED_IN]->(:year_1950)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";A OR B;-;100%;2296374;22358412;1756.3
"MATCH (n3:actor)-[:ACTED_IN]->(n2:animation), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n3.birth=1908) OR (n2.category=""short"") RETURN count(n1)";"CALL () {
  MATCH (n3:actor)-[:ACTED_IN]->(n2:animation), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy), (n3)-[:BORN_IN]->(:year_1908)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actor)-[:ACTED_IN]->(n2:animation)-[:HAS_CATEGORY]->(:short), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actor)-[:ACTED_IN]->(n2:animation)-[:HAS_CATEGORY]->(:short), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy), (n3)-[:BORN_IN]->(:year_1908)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";A OR B;-;100%;3935794;34219778;7426.7
"MATCH (n4:actress)-[:ACTED_IN]->(n1:adventure), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""movie"") OR (n4.birth=1950) RETURN count(n1)";"CALL () {
  MATCH (n4:actress)-[:ACTED_IN]->(n1:adventure), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n3:drama)-[:HAS_CATEGORY]->(:movie)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:actress)-[:ACTED_IN]->(n1:adventure), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n3:drama), (n4)-[:BORN_IN]->(:year_1950)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:actress)-[:ACTED_IN]->(n1:adventure), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n3:drama)-[:HAS_CATEGORY]->(:movie), (n4)-[:BORN_IN]->(:year_1950)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";A OR B;-;100%;244366134;1187735009;175869.1
"MATCH (n3:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer)-[:ACTED_IN]->(n2:action) WHERE (n3.birth=1942) OR (n3.name=""Harrison Ford"") RETURN count(n1)";"CALL () {
  MATCH (n3:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer)-[:ACTED_IN]->(n2:action), (n3)-[:BORN_IN]->(:year_1942)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer)-[:ACTED_IN]->(n2:action)
  WHERE n3.name=""Harrison Ford""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer)-[:ACTED_IN]->(n2:action), (n3)-[:BORN_IN]->(:year_1942)
  WHERE n3.name=""Harrison Ford""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";A OR B;A;50%;93;127915;1001.9
"MATCH (n3:miscellaneous)-[:ACTED_IN]->(n1:drama), (n3:miscellaneous)-[:ACTED_IN]->(n2:comedy) WHERE (n1.category=""tvSeries"") OR (n2.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n3:miscellaneous)-[:ACTED_IN]->(n1:drama)-[:HAS_CATEGORY]->(:tvSeries), (n3:miscellaneous)-[:ACTED_IN]->(n2:comedy)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:miscellaneous)-[:ACTED_IN]->(n1:drama), (n3:miscellaneous)-[:ACTED_IN]->(n2:comedy)-[:HAS_CATEGORY]->(:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:miscellaneous)-[:ACTED_IN]->(n1:drama)-[:HAS_CATEGORY]->(:tvSeries), (n3:miscellaneous)-[:ACTED_IN]->(n2:comedy)-[:HAS_CATEGORY]->(:movie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";A OR B;-;100%;1121494;23326724;40840
"MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n1:comedy), (n2:director)-[:CINEMATOGRAPHER_OF]->(n3:drama) WHERE (n1.category=""short"") OR (n3.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n1:comedy)-[:HAS_CATEGORY]->(:short), (n2:director)-[:CINEMATOGRAPHER_OF]->(n3:drama)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n1:comedy), (n2:director)-[:CINEMATOGRAPHER_OF]->(n3:drama)-[:HAS_CATEGORY]->(:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n1:comedy)-[:HAS_CATEGORY]->(:short), (n2:director)-[:CINEMATOGRAPHER_OF]->(n3:drama)-[:HAS_CATEGORY]->(:movie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";A OR B;-;100%;502970;17087185;11928.1
"MATCH (n1:director)-[:PRODUCED]->(n4:horror), (n1:producer)-[:PRODUCED]->(n2:documentary), (n1:writer)-[:DIRECTED]->(n3:documentary) WHERE (n2.category=""video"") OR (n3.category=""tvMovie"") RETURN count(n1)";"CALL () {
  MATCH (n1:director)-[:PRODUCED]->(n4:horror), (n1:producer)-[:PRODUCED]->(n2:documentary)-[:HAS_CATEGORY]->(:video), (n1:writer)-[:DIRECTED]->(n3:documentary)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:director)-[:PRODUCED]->(n4:horror), (n1:producer)-[:PRODUCED]->(n2:documentary), (n1:writer)-[:DIRECTED]->(n3:documentary)-[:HAS_CATEGORY]->(:tvMovie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:director)-[:PRODUCED]->(n4:horror), (n1:producer)-[:PRODUCED]->(n2:documentary)-[:HAS_CATEGORY]->(:video), (n1:writer)-[:DIRECTED]->(n3:documentary)-[:HAS_CATEGORY]->(:tvMovie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";A OR B;-;100%;5344;4285924;3656.7
"MATCH (n3:actress)-[:ACTED_IN]->(n1:music), (n3:soundtrack)-[:ACTED_IN]->(n2:music), (n3:actress)-[:ACTED_IN]->(n4:music) WHERE (n4.category=""tvSeries"") OR (n1.category=""tvMovie"") RETURN count(n1)";"CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:music), (n3:soundtrack)-[:ACTED_IN]->(n2:music), (n3:actress)-[:ACTED_IN]->(n4:music)-[:HAS_CATEGORY]->(:tvSeries)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:music)-[:HAS_CATEGORY]->(:tvMovie), (n3:soundtrack)-[:ACTED_IN]->(n2:music), (n3:actress)-[:ACTED_IN]->(n4:music)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:music)-[:HAS_CATEGORY]->(:tvMovie), (n3:soundtrack)-[:ACTED_IN]->(n2:music), (n3:actress)-[:ACTED_IN]->(n4:music)-[:HAS_CATEGORY]->(:tvSeries)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";A OR B;-;100%;90832418;559095592;79871.1
