"Kueri";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n2:actress)-[:ACTED_IN]->(n4:animation), (n2:actress)-[:ACTED_IN]->(n1:animation), (n2:actress)-[:ACTED_IN]->(n3:sci_fi) WHERE (n2.birth=1952) RETURN count(n1)";"5478924";"18009938";"2427.3"
"MATCH (n1:producer)-[:ACTED_IN]->(n4:documentary), (n1:writer)-[:ACTED_IN]->(n2:music), (n1:producer)-[:ACTED_IN]->(n3:documentary) WHERE (n1.death=0) RETURN count(n1)";"TIMEOUT";"TIMEOUT";"TIMEOUT"
"MATCH (n2:actor)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:game_show) WHERE (n2.death=2009 AND n2.birth=1923) RETURN count(n1)";"2107";"7812595";"2938.9"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:drama) WHERE (n1.birth=1957 AND n2.year=1987) RETURN count(n1)";"415249";"3027478";"1754.2"
"MATCH (n4:music_department)-[:COMPOSED]->(n2:documentary), (n4:soundtrack)-[:COMPOSED]->(n1:documentary), (n4:soundtrack)-[:COMPOSED]->(n3:sport) WHERE (n3.year=1950 AND n4.birth=1911) RETURN count(n1)";"11470";"413571";"179.7"
"MATCH (n3:producer)-[:DIRECTED]->(n1:animation), (n3:director)-[:DIRECTED]->(n2:animation) WHERE (n2.category=""short"" AND n3.birth=1905) RETURN count(n1)";"551";"823418";"1473.1"
"MATCH (n1:producer)-[:ACTED_IN]->(n4:adult), (n1:director)-[:PRODUCED]->(n3:adult), (n1:actor)-[:ACTED_IN]->(n2:adult) WHERE (n3.category=""video"" AND n2.category=""video"") RETURN count(n1)";"91844700";"279926883";"51907.2"
"MATCH (n1:actress)-[:PRODUCED]->(n3:romance), (n1:soundtrack)-[:ACTED_IN]->(n4:thriller), (n1:soundtrack)-[:ACTED_IN]->(n2:drama) WHERE (n4.category=""tvMovie"" AND n2.category=""movie"") RETURN count(n1)";"131";"262416";"117.5"
"MATCH (n2:director)-[:ACTED_IN]->(n1:adventure), (n2:director)-[:ACTED_IN]->(n3:romance) WHERE (n2.death=1972 AND n3.category=""movie"") RETURN count(n1)";"2717";"1150912";"322.7"
"MATCH (n3:music_department)-[:COMPOSED]->(n1:romance), (n3:music_department)-[:COMPOSED]->(n2:documentary) WHERE (n1.category=""movie"" AND n3.death=2005) RETURN count(n1)";"84";"167103";"57.7"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport) WHERE (n4.category=""tvSpecial"" AND n2.name=""Sam Anoai"") RETURN count(n1)";"22780";"1646888";"247.1"
"MATCH (n2:composer)-[:ACTED_IN]->(n4:music), (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:composer)-[:ACTED_IN]->(n1:music) WHERE (n1.category=""video"" AND n2.name=""Bob Geldof"") RETURN count(n1)";"27956";"351237";"87.1"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:documentary), (n1:actor)-[:ACTED_IN]->(n3:adventure) WHERE (n3.category=""movie"" AND n2.year=2007) RETURN count(n1)";"9277";"20094967";"7368.3"
"MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy), (n1:actor)-[:ACTED_IN]->(n2:comedy) WHERE (n3.category=""tvSeries"" AND n3.year=1957) RETURN count(n1)";"36038";"3155879";"1165.4"
"MATCH (n2:director)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:war) WHERE (n1.category=""tvMovie"" AND n3.year=1990) RETURN count(n1)";"481";"211292";"96.4"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:documentary), (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n4.year=2007 AND n4.category=""tvSpecial"") RETURN count(n1)";"5491";"118292346";"27780.3"
"MATCH (n3:writer)-[:ACTED_IN]->(n4:adventure), (n3:writer)-[:ACTED_IN]->(n2:talk_show), (n3:actor)-[:ACTED_IN]->(n1:documentary) WHERE (n1.year=2016 AND n2.category=""tvSeries"") RETURN count(n1)";"54953";"15061195";"2819.8"
"MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:news), (n2:producer)-[:CINEMATOGRAPHER_OF]->(n3:documentary) WHERE (n2.death=1933 AND n3.year=1899) RETURN count(n1)";"2848";"502798";"737.4"
"MATCH (n3:producer)-[:PRODUCED]->(n2:sport), (n3:writer)-[:PRODUCED]->(n4:drama), (n3:producer)-[:WROTE]->(n1:drama) WHERE (n4.year=2008 AND n3.death=0) RETURN count(n1)";"655155";"5983880";"1252.2"
"MATCH (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:documentary), (n3:producer)-[:ACTED_IN]->(n2:thriller) WHERE (n3.death=0 AND n4.year=2004) RETURN count(n1)";"127171";"5528972";"1265.4"
"MATCH (n3:producer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary), (n3:director)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:documentary) WHERE (n3.name=""Bernardo Bertolucci"" AND n2.year=2011) RETURN count(n1)";"6";"600661";"226.0"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:crime), (n3:director)-[:DIRECTED]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n4:talk_show) WHERE (n4.year=2009 AND n3.name=""John Sayles"") RETURN count(n1)";"18";"659100";"202.9"
"MATCH (n4:writer)-[:ACTED_IN]->(n3:comedy), (n4:actor)-[:ACTED_IN]->(n1:drama), (n4:actor)-[:ACTED_IN]->(n2:drama) WHERE (n4.birth=1877) OR (n4.death=1950) RETURN count(n1)";"2296374";"10649493";"956.7"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:animation), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n3.birth=1908) OR (n2.category=""short"") RETURN count(n1)";"3935794";"21724827";"4964.4"
"MATCH (n4:actress)-[:ACTED_IN]->(n1:adventure), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""movie"") OR (n4.birth=1950) RETURN count(n1)";"244366134";"1199740613";"136468.5"
"MATCH (n3:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer)-[:ACTED_IN]->(n2:action) WHERE (n3.birth=1942) OR (n3.name=""Harrison Ford"") RETURN count(n1)";"93";"100880";"195.0"
"MATCH (n3:miscellaneous)-[:ACTED_IN]->(n1:drama), (n3:miscellaneous)-[:ACTED_IN]->(n2:comedy) WHERE (n1.category=""tvSeries"") OR (n2.category=""movie"") RETURN count(n1)";"1121494";"9941650";"19019.4"
"MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n1:comedy), (n2:director)-[:CINEMATOGRAPHER_OF]->(n3:drama) WHERE (n1.category=""short"") OR (n3.category=""movie"") RETURN count(n1)";"502970";"96632235";"23190.7"
"MATCH (n1:director)-[:PRODUCED]->(n4:horror), (n1:producer)-[:PRODUCED]->(n2:documentary), (n1:writer)-[:DIRECTED]->(n3:documentary) WHERE (n2.category=""video"") OR (n3.category=""tvMovie"") RETURN count(n1)";"5344";"1741486";"1257.1"
"MATCH (n3:actress)-[:ACTED_IN]->(n1:music), (n3:soundtrack)-[:ACTED_IN]->(n2:music), (n3:actress)-[:ACTED_IN]->(n4:music) WHERE (n4.category=""tvSeries"") OR (n1.category=""tvMovie"") RETURN count(n1)";"90832418";"562521301";"74330.5"
"MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n4:adult), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:adult), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:comedy) WHERE (n1.category=""video"") OR (n3.category=""video"") RETURN count(n1)";"10352891";"290855903";"58226.2"
"MATCH (n3:music_department)-[:COMPOSED]->(n2:documentary), (n3:soundtrack)-[:COMPOSED]->(n1:drama) WHERE (n3.death=2019) OR (n2.category=""movie"") RETURN count(n1)";"431581";"5967139";"2378.9"
"MATCH (n3:music_department)-[:ACTED_IN]->(n1:music), (n3:soundtrack)-[:COMPOSED]->(n2:romance) WHERE (n2.year=1990) OR (n1.category=""tvSpecial"") RETURN count(n1)";"6229";"2393975";"1768.3"
"MATCH (n1:composer)-[:COMPOSED]->(n3:western), (n1:composer)-[:COMPOSED]->(n2:drama) WHERE (n3.year=1969) OR (n3.category=""movie"") RETURN count(n1)";"161284";"1160180";"377.6"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:sport), (n1:actress)-[:ACTED_IN]->(n4:comedy), (n1:actress)-[:ACTED_IN]->(n2:documentary) WHERE (n3.year=1993) OR (n2.category=""video"") RETURN count(n1)";"903495";"16132929";"5975.4"
"MATCH (n3:actor)-[:ACTED_IN]->(n1:reality_tv), (n3:actor)-[:ACTED_IN]->(n2:documentary), (n4:producer)-[:ACTED_IN]->(n1:reality_tv) WHERE (n1.category=""tvSpecial"") OR (n2.year=0) RETURN count(n1)";"172444";"18357261";"10429.3"
"MATCH (n2:writer)-[:CINEMATOGRAPHER_OF]->(n4:adult), (n2:camera_department)-[:CINEMATOGRAPHER_OF]->(n3:adult), (n2:director)-[:DIRECTED]->(n1:adult) WHERE (n2.name=""James Avalon"") OR (n2.death=0) RETURN count(n1)";"182856";"831300";"475.1"
"MATCH (n2:music_department)-[:ACTED_IN]->(n3:crime), (n2:music_department)-[:ACTED_IN]->(n1:romance) WHERE (n3.year=1981) OR (n2.death=2012) RETURN count(n1)";"9092";"2097176";"2998.0"
"MATCH (n4:director)-[:PRODUCED]->(n3:drama), (n4:producer)-[:DIRECTED]->(n1:drama), (n4:director)-[:PRODUCED]->(n2:documentary) WHERE (n1.year=1997) OR (n4.death=0) RETURN count(n1)";"1043929";"17521353";"4733.6"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:documentary), (n3:producer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:music) WHERE (n1.year=2007) OR (n3.name=""Jack Nicholson"") RETURN count(n1)";"2187";"487350";"1367.4"
"MATCH (n2:writer)-[:ACTED_IN]->(n3:music), (n2:producer)-[:PRODUCED]->(n1:thriller) WHERE (n1.year=2001) OR (n3.year=2016) RETURN count(n1)";"108";"769056";"1591.4"
"MATCH (n1:writer)-[:ACTED_IN]->(n4:documentary), (n1:actor)-[:ACTED_IN]->(n2:documentary), (n1:director)-[:ACTED_IN]->(n3:comedy) WHERE (n3.year=1985) OR (n4.year=2008) RETURN count(n1)";"3105386";"1065369220";"256948.7"
"MATCH (n3:music_department)-[:COMPOSED]->(n2:documentary), (n3:music_department)-[:COMPOSED]->(n1:documentary) WHERE (n3.name=""Philip Glass"" AND n3.birth=1937 AND n1.category=""video"") RETURN count(n1)";"603";"157514";"179.1"
"MATCH (n2:director)-[:ACTED_IN]->(n3:comedy), (n2:actor)-[:WROTE]->(n1:comedy) WHERE (n1.category=""movie"" AND n2.name=""John McDermott"" AND n2.birth=1893) RETURN count(n1)";"465";"655853";"357.1"
"MATCH (n3:script_department)-[:EDITED]->(n1:drama), (n3:miscellaneous)-[:EDITED]->(n4:drama), (n3:editor)-[:EDITED]->(n2:comedy) WHERE (n2.category=""movie"" AND n3.birth=0 AND n3.name=""Jorge Busto"") RETURN count(n1)";"2057928";"9538192";"1055.9"
"MATCH (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n1:family), (n4:director)-[:CINEMATOGRAPHER_OF]->(n2:comedy), (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n3:war) WHERE (n4.birth=0 AND n4.name=""Guy Gonçalves"" AND n3.year=1997) RETURN count(n1)";"3";"54223";"76.7"
"MATCH (n1:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult), (n1:miscellaneous)-[:ACTED_IN]->(n3:adult), (n1:actress)-[:ACTED_IN]->(n4:adult) WHERE (n1.birth=1966 AND n1.name=""Christy Canyon"" AND n4.year=1995) RETURN count(n1)";"95910";"744699";"480.4"
"MATCH (n3:soundtrack)-[:ACTED_IN]->(n2:drama), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n1.category=""movie"" AND n3.death=1976 AND n2.category=""movie"") RETURN count(n1)";"7306";"354901";"178.0"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:producer)-[:ACTED_IN]->(n1:drama) WHERE (n3.category=""video"" AND n1.category=""movie"" AND n2.name=""Kevin Costner"") RETURN count(n1)";"858";"129474";"91.0"
"MATCH (n2:visual_effects)-[:ACTED_IN]->(n1:comedy), (n2:visual_effects)-[:ACTED_IN]->(n3:thriller), (n2:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n3.category=""short"" AND n2.name=""Steven Allen"" AND n1.category=""short"") RETURN count(n1)";"42";"41153";"65.4"
"MATCH (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:drama), (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:thriller), (n3:camera_department)-[:CINEMATOGRAPHER_OF]->(n2:crime) WHERE (n1.category=""movie"" AND n3.name=""Ellsworth Fredericks"" AND n4.category=""movie"") RETURN count(n1)";"474";"328003";"828.9"
"MATCH (n3:producer)-[:EDITED]->(n1:documentary), (n3:editor)-[:EDITED]->(n2:documentary) WHERE (n1.category=""movie"" AND n1.year=2010 AND n2.category=""video"") RETURN count(n1)";"169";"1441793";"1238.8"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:drama), (n1:actor)-[:ACTED_IN]->(n3:news) WHERE (n3.category=""video"" AND n2.category=""movie"" AND n2.year=1974) RETURN count(n1)";"11";"1906346";"1104.3"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:comedy), (n1:actress)-[:ACTED_IN]->(n2:comedy), (n1:actress)-[:ACTED_IN]->(n4:comedy) WHERE (n3.year=1976 AND n2.category=""movie"" AND n3.category=""movie"") RETURN count(n1)";"596043";"7437973";"2247.3"
"MATCH (n3:producer)-[:ACTED_IN]->(n1:drama), (n3:director)-[:ACTED_IN]->(n2:drama) WHERE (n3.death=0 AND n1.category=""movie"" AND n2.year=1988) RETURN count(n1)";"22066";"8807963";"5841.1"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:mystery) WHERE (n3.year=2010 AND n1.death=0 AND n2.category=""movie"") RETURN count(n1)";"19918";"4173923";"3808.0"
"MATCH (n3:actor)-[:DIRECTED]->(n2:drama), (n3:actor)-[:DIRECTED]->(n1:drama) WHERE (n2.year=1973 AND n3.name=""Hasan El-Emam"" AND n2.category=""movie"") RETURN count(n1)";"82";"2528475";"1098.9"
"MATCH (n1:actress)-[:ACTED_IN]->(n2:drama), (n1:actress)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""tvMovie"" AND n3.year=1962 AND n2.year=1958) RETURN count(n1)";"377";"4084343";"2017.5"
"MATCH (n4:actor)-[:ACTED_IN]->(n2:drama), (n4:soundtrack)-[:WROTE]->(n3:drama), (n4:director)-[:DIRECTED]->(n1:drama) WHERE (n1.year=1913 AND n2.year=1935 AND n3.category=""short"") RETURN count(n1)";"18";"445654";"73.7"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:drama), (n1:actor)-[:ACTED_IN]->(n4:documentary), (n1:actor)-[:ACTED_IN]->(n3:documentary) WHERE (n4.year=2005 AND n3.year=2016 AND n1.death=0) RETURN count(n1)";"394549";"29327556";"7308.9"
"MATCH (n4:director)-[:DIRECTED]->(n3:adult), (n4:cinematographer)-[:DIRECTED]->(n1:adult), (n4:writer)-[:CINEMATOGRAPHER_OF]->(n2:adult) WHERE (n1.year=2005 AND n4.death=0 AND n2.year=2002) RETURN count(n1)";"2354";"570829";"236.8"
"MATCH (n2:producer)-[:ACTED_IN]->(n3:romance), (n2:miscellaneous)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n1.year=2019 AND n4.year=2008 AND n3.year=1999) RETURN count(n1)";"11";"1819534";"543.5"
"MATCH (n2:composer)-[:COMPOSED]->(n3:comedy), (n2:music_department)-[:COMPOSED]->(n1:animation) WHERE (n2.death=0) OR (n2.birth=0) OR (n3.category=""movie"") RETURN count(n1)";"10613023";"118291975";"21854.1"
"MATCH (n3:assistant_director)-[:ACTED_IN]->(n1:musical), (n3:assistant_director)-[:ACTED_IN]->(n2:comedy) WHERE (n3.birth=1899) OR (n1.category=""short"") OR (n3.name=""Robert Agnew"") RETURN count(n1)";"1913";"1146177";"1006.8"
"MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy), (n1:actor)-[:ACTED_IN]->(n4:comedy), (n1:actor)-[:ACTED_IN]->(n2:sci_fi) WHERE (n1.birth=1954) OR (n3.category=""movie"") OR (n1.name=""Robert Carradine"") RETURN count(n1)";"40399613";"413541747";"76414.8"
"MATCH (n3:writer)-[:ACTED_IN]->(n2:talk_show), (n3:actor)-[:ACTED_IN]->(n1:reality_tv) WHERE (n3.birth=1964) OR (n2.category=""tvSeries"") OR (n1.year=2011) RETURN count(n1)";"436203";"137486898";"25090.2"
"MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance) WHERE (n4.category=""movie"") OR (n2.birth=1889) OR (n1.year=1934) RETURN count(n1)";"636933";"102145168";"16035.7"
"MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy) WHERE (n1.birth=1947) OR (n2.year=1970) OR (n4.category=""movie"") RETURN count(n1)";"TIMEOUT";"TIMEOUT";"TIMEOUT"
"MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music), (n3:actress)-[:ACTED_IN]->(n4:drama) WHERE (n1.year=2013) OR (n1.category=""video"") OR (n3.birth=1977) RETURN count(n1)";"10841582";"88563637";"21814.8"
"MATCH (n1:producer)-[:ACTED_IN]->(n2:sport), (n1:actor)-[:ACTED_IN]->(n3:sport), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport) WHERE (n2.category=""tvSpecial"") OR (n3.category=""tvSpecial"") OR (n1.death=0) RETURN count(n1)";"167958126";"667886407";"125075.3"
"MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:actor)-[:ACTED_IN]->(n2:music), (n4:actor)-[:ACTED_IN]->(n1:talk_show) WHERE (n3.category=""tvSeries"") OR (n2.category=""tvSeries"") OR (n4.name=""Marcel Amont"") RETURN count(n1)";"478653584";"2864592176";"396764.0"
"MATCH (n2:director)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""short"") OR (n1.category=""tvSeries"") OR (n3.year=2017) RETURN count(n1)";"2408451";"758809526";"154158.6"
"MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history), (n1:actor)-[:ACTED_IN]->(n2:documentary) WHERE (n1.death=2021) OR (n3.year=2018) OR (n2.category=""video"") RETURN count(n1)";"28738";"10057346";"3824.7"
"MATCH (n3:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director)-[:ACTED_IN]->(n1:drama) WHERE (n1.year=1943) OR (n1.category=""movie"") OR (n3.death=1954) RETURN count(n1)";"1826";"608333";"1345.3"
"MATCH (n4:soundtrack)-[:COMPOSED]->(n2:drama), (n4:composer)-[:COMPOSED]->(n1:documentary), (n4:composer)-[:COMPOSED]->(n3:drama) WHERE (n4.death=2006) OR (n2.year=1956) OR (n3.category=""movie"") RETURN count(n1)";"TIMEOUT";"TIMEOUT";"TIMEOUT"
"MATCH (n1:writer)-[:ACTED_IN]->(n2:sport), (n1:writer)-[:ACTED_IN]->(n3:sport) WHERE (n1.death=0) OR (n1.name=""Steve Austin"") OR (n2.category=""video"") RETURN count(n1)";"21123015";"83887491";"16355.4"
"MATCH (n3:music_department)-[:PRODUCED]->(n2:action), (n3:producer)-[:ACTED_IN]->(n1:adventure) WHERE (n2.category=""movie"") OR (n3.death=0) OR (n3.name=""Jerry Bruckheimer"") RETURN count(n1)";"159";"188503";"197.5"
"MATCH (n1:music_department)-[:COMPOSED]->(n3:drama), (n1:soundtrack)-[:COMPOSED]->(n2:comedy) WHERE (n1.name=""Kai Normann Andersen"") OR (n3.year=1948) OR (n3.category=""movie"") RETURN count(n1)";"1455429";"20998082";"4057.6"
"MATCH (n3:actress)-[:ACTED_IN]->(n1:war), (n3:actress)-[:ACTED_IN]->(n2:action), (n3:actress)-[:ACTED_IN]->(n4:drama) WHERE (n3.name=""Li Gong"") OR (n1.year=2000) OR (n4.category=""movie"") RETURN count(n1)";"1307109";"65074018";"9291.0"
"MATCH (n2:actress)-[:ACTED_IN]->(n1:drama), (n2:soundtrack)-[:ACTED_IN]->(n3:comedy) WHERE (n3.year=1989) OR (n1.year=1993) OR (n1.category=""movie"") RETURN count(n1)";"3438519";"10750018";"34994.7"
"MATCH (n2:director)-[:ACTED_IN]->(n3:drama), (n2:director)-[:ACTED_IN]->(n1:horror), (n2:soundtrack)-[:ACTED_IN]->(n4:music) WHERE (n2.name=""Juliette Lewis"") OR (n2.death=0) OR (n1.year=1996) RETURN count(n1)";"18427626";"88317917";"9728.9"
"MATCH (n4:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n3:documentary), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n1:comedy) WHERE (n1.year=1972) OR (n4.death=0) OR (n2.year=1972) RETURN count(n1)";"28986109";"1888874962";"319164.3"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:music), (n2:soundtrack)-[:ACTED_IN]->(n1:music) WHERE (n1.year=1996 AND n2.birth=1947 AND n3.year=1983 AND n2.name=""Elton John"") RETURN count(n1)";"24";"215725";"184.7"
"MATCH (n1:actress)-[:ACTED_IN]->(n2:adult), (n1:actress)-[:ACTED_IN]->(n3:adult) WHERE (n1.name=""Kim Angeli"" AND n1.birth=1968 AND n3.year=1990 AND n2.year=1993) RETURN count(n1)";"22";"471199";"267.1"
"MATCH (n3:writer)-[:WROTE]->(n2:animation), (n3:writer)-[:WROTE]->(n4:drama), (n3:writer)-[:WROTE]->(n1:adventure) WHERE (n2.year=1978 AND n3.birth=0 AND n3.name=""Aleksandr Antokolsky"" AND n4.year=1960) RETURN count(n1)";"1";"665335";"513.5"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:drama), (n3:actor)-[:ACTED_IN]->(n1:drama) WHERE (n2.year=1980 AND n3.birth=1937 AND n1.year=1992 AND n2.category=""movie"") RETURN count(n1)";"46";"3383580";"1190.6"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:romance), (n1:actor)-[:ACTED_IN]->(n4:war), (n1:actor)-[:ACTED_IN]->(n3:comedy) WHERE (n3.category=""movie"" AND n1.birth=1895 AND n3.year=1927 AND n4.year=1929) RETURN count(n1)";"14";"55122";"51.6"
"MATCH (n2:actor)-[:DIRECTED]->(n1:biography), (n2:actor)-[:DIRECTED]->(n3:romance) WHERE (n2.birth=1904 AND n2.name=""Goffredo Alessandrini"" AND n3.year=1936 AND n1.category=""movie"") RETURN count(n1)";"1";"196852";"249.7"
